epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,825.558,0.94831,1.40491,1.22113,0.00724,0.57566,0.5986,0.43734,0.43708,0.32876,0.59624,0.43314,0.43273,0.30535,1.16726,2.16865,2.33637,0.01503,0,0.000193256,0.000193256,0.000193256
62,837.404,0.93225,1.40968,1.2211,0.00729,0.5943,0.54328,0.43798,0.42374,0.32706,0.54624,0.41523,0.41344,0.30074,1.14996,2.26309,2.34495,0.01478,0,0.000188544,0.000188544,0.000188544
63,849.204,0.9067,1.38436,1.19807,0.00725,0.58216,0.57184,0.42765,0.43023,0.33139,0.56577,0.41889,0.42016,0.31206,1.16126,2.21374,2.31842,0.01479,0,0.000183831,0.000183831,0.000183831
64,860.992,0.92617,1.41539,1.20922,0.00732,0.58612,0.54901,0.40445,0.41939,0.32617,0.53515,0.39753,0.40937,0.3034,1.16033,2.17239,2.35275,0.01475,0,0.000179119,0.000179119,0.000179119
65,872.586,0.91138,1.39013,1.17046,0.00721,0.55188,0.54922,0.42332,0.4248,0.32465,0.52929,0.42583,0.42101,0.30499,1.17382,2.18513,2.30449,0.01501,0,0.000174406,0.000174406,0.000174406
66,884.22,0.92208,1.39787,1.19182,0.007,0.55678,0.56244,0.41357,0.4271,0.32579,0.55331,0.40663,0.42281,0.30683,1.17852,2.1721,2.31369,0.01515,0,0.000169694,0.000169694,0.000169694
67,895.762,0.92202,1.39943,1.17318,0.00717,0.54662,0.57398,0.42803,0.43778,0.33479,0.54796,0.42035,0.4269,0.31542,1.19633,2.18273,2.32653,0.01537,0,0.000164982,0.000164982,0.000164982
68,907.395,0.89882,1.38378,1.18086,0.00726,0.55606,0.57604,0.4332,0.4365,0.33194,0.55428,0.43296,0.43028,0.3105,1.18885,2.25143,2.31403,0.01525,0,0.000160269,0.000160269,0.000160269
69,919.078,0.89258,1.35345,1.14245,0.00703,0.54549,0.61004,0.39297,0.42443,0.32317,0.59036,0.38929,0.41856,0.30637,1.17638,2.19038,2.35378,0.01506,0,0.000155557,0.000155557,0.000155557
70,930.677,0.89985,1.37174,1.13476,0.00707,0.54635,0.58831,0.42802,0.42782,0.32688,0.56144,0.42958,0.41442,0.30447,1.16626,2.1834,2.34828,0.01501,0,0.000150844,0.000150844,0.000150844
71,942.337,0.90382,1.35134,1.14634,0.00703,0.53327,0.57985,0.42573,0.43123,0.32882,0.56621,0.4206,0.42247,0.30724,1.17769,2.23777,2.34437,0.01506,0,0.000146132,0.000146132,0.000146132
72,953.966,0.88518,1.36492,1.1331,0.00699,0.52946,0.51277,0.43923,0.41354,0.31332,0.52937,0.42769,0.40465,0.29614,1.14925,2.18403,2.37282,0.01466,0,0.00014142,0.00014142,0.00014142
73,965.569,0.89834,1.34912,1.11828,0.00708,0.52406,0.56845,0.41465,0.43652,0.32902,0.55607,0.40869,0.42637,0.31177,1.16193,2.24339,2.31167,0.01519,0,0.000136707,0.000136707,0.000136707
74,977.16,0.90688,1.36215,1.11091,0.00696,0.52726,0.60347,0.40011,0.42751,0.33011,0.58797,0.3878,0.41674,0.30487,1.17251,2.24683,2.36203,0.01526,0,0.000131995,0.000131995,0.000131995
75,988.688,0.8836,1.32019,1.114,0.00693,0.5309,0.60595,0.40844,0.43904,0.33852,0.59062,0.40521,0.43034,0.31777,1.17705,2.1426,2.34216,0.01518,0,0.000127282,0.000127282,0.000127282
76,1000.16,0.88228,1.32946,1.09523,0.00694,0.51996,0.53886,0.42328,0.42808,0.33525,0.52758,0.41591,0.42061,0.31108,1.168,2.23666,2.35497,0.01502,0,0.00012257,0.00012257,0.00012257
77,1011.77,0.88412,1.32077,1.09847,0.00678,0.51854,0.54699,0.43884,0.42967,0.33054,0.53316,0.43021,0.42059,0.3112,1.17216,2.20412,2.32293,0.01491,0,0.000117858,0.000117858,0.000117858
78,1023.11,0.88074,1.34503,1.07494,0.00677,0.51198,0.65178,0.38957,0.43641,0.33555,0.61676,0.39521,0.42598,0.31556,1.16612,2.18656,2.33618,0.01501,0,0.000113145,0.000113145,0.000113145
79,1034.46,0.8775,1.31816,1.09086,0.00674,0.50343,0.626,0.41101,0.43431,0.33985,0.61765,0.40315,0.42688,0.31699,1.1654,2.21688,2.351,0.01475,0,0.000108433,0.000108433,0.000108433
80,1046.01,0.86686,1.32248,1.0814,0.00682,0.50565,0.60665,0.42652,0.43528,0.3418,0.59763,0.41762,0.42759,0.32412,1.14282,2.16768,2.28603,0.01452,0,0.00010372,0.00010372,0.00010372
81,1057.59,0.88744,1.32191,1.08196,0.00674,0.4968,0.5652,0.43833,0.42901,0.33545,0.56086,0.4363,0.42323,0.31167,1.15347,2.17345,2.37078,0.01457,0,9.9008e-05,9.9008e-05,9.9008e-05
